status,tagline,title,vote_average,vote_count
Released,Enter the World of Pandora.,Avatar,7.2,11800
Released,"At the end of the world, the adventure begins.",Pirates of the Caribbean: At World's End,6.9,4500
Released,A Plan No One Escapes,Spectre,6.3,4466
Released,The Legend Ends,The Dark Knight Rises,7.6,9106
Released,"Lost in our world, found in another.",John Carter,6.1,2124
Released,The battle within.,Spider-Man 3,5.9,3576
Released,They're taking adventure to new lengths.,Tangled,7.4,3330
Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6767
Released,Dark Secrets Revealed,Harry Potter and the Half-Blood Prince,7.4,5293
Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7004
Released,,Superman Returns,5.4,1400
Released,"For love, for hate, for justice, for revenge.",Quantum of Solace,6.1,2965
Released,Jack is back!,Pirates of the Caribbean: Dead Man's Chest,7,5246
Released,Never Take Off the Mask,The Lone Ranger,5.9,2311
Released,You will believe that a man can fly.,Man of Steel,6.5,6359
Released,Hope has a new face.,The Chronicles of Narnia: Prince Caspian,6.3,1630
Released,Some assembly required.,The Avengers,7.4,11776
Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,6.4,4948
Released,They are back... in time.,Men in Black 3,6.2,4160
Released,Witness the defining chapter of the Middle-Earth saga,The Hobbit: The Battle of the Five Armies,7.1,4760
Released,The untold story begins.,The Amazing Spider-Man,6.5,6586
Released,"Rise and rise again, until lambs become lions.",Robin Hood,6.2,1398
Released,Beyond darkness... beyond desolation... lies the greatest danger of all.,The Hobbit: The Desolation of Smaug,7.6,4524
Released,There are worlds beyond our own - the compass will show the way.,The Golden Compass,5.8,1303
Released,The eighth wonder of the world.,King Kong,6.6,2337
Released,Nothing on Earth could come between them.,Titanic,7.5,7562
Released,Divided We Fall,Captain America: Civil War,7.1,7241
Released,The Battle for Earth Begins at Sea,Battleship,5.5,2114
Released,The park is open.,Jurassic World,6.5,8662
Released,Think on your sins.,Skyfall,6.9,7604
Released,There's a hero in all of us.,Spider-Man 2,6.7,4321
Released,Unleash the power behind the armor.,Iron Man 3,6.8,8806
Released,You're invited to a very important date.,Alice in Wonderland,6.4,4645
Released,Take a Stand,X-Men: The Last Stand,6.3,3525
Released,School never looked this scary.,Monsters University,7,3528
Released,Revenge is coming.,Transformers: Revenge of the Fallen,6,3138
Released,This is not war. It's extinction.,Transformers: Age of Extinction,5.8,3095
Released,"In Oz, nothing is what it seems",Oz: The Great and Powerful,5.7,3530
Released,No more secrets.,The Amazing Spider-Man 2,6.5,4179
Released,The Game Has Changed.,TRON: Legacy,6.3,2841
Released,Ka-ciao!,Cars 2,5.8,2033
Released,"In our darkest hour, there will be light.",Green Lantern,5.1,2487
Released,No toy gets left behind.,Toy Story 3,7.6,4597
Released,The End Begins.,Terminator Salvation,5.9,2463
Released,Vengeance Hits Home,Furious 7,7.3,4176
Released,Remember Philly!,World War Z,6.7,5560
Released,"To save the future, they must alter the past",X-Men: Days of Future Past,7.5,6032
Released,Earth Will Fall,Star Trek Into Darkness,7.4,4418
Released,Prepare for a giant adventure,Jack the Giant Slayer,5.5,2598
Released,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,The Great Gatsby,7.3,3769
Released,Defy the Future,Prince of Persia: The Sands of Time,6.2,2317
Released,"To Fight Monsters, We Created Monsters",Pacific Rim,6.7,4794
Released,The invasion we always feared. An enemy we never expected.,Transformers: Dark of the Moon,6.1,3299
Released,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
Released,Little Arms With Big Attitude,The Good Dinosaur,6.6,1736
Released,Change your fate.,Brave,6.7,4641
Released,,Star Trek Beyond,6.6,2568
Released,An adventure beyond the ordinar-E.,WALL��E,7.8,6296
Released,The Rush Is On!,Rush Hour 3,6.1,783
Released,We Were Warned.,2012,5.6,4903
Released,Season's Greedings,A Christmas Carol,6.6,1095
Released,Expand your universe.,Jupiter Ascending,5.2,2768
Released,Human. Nature.,The Legend of Tarzan,5.5,2430
Released,Evil Has Reigned For 100 Years...,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
Released,Only the strong will survive,X-Men: Apocalypse,6.4,4721
Released,Why So Serious?,The Dark Knight,8.2,12002
Released,,Up,7.7,6870
Released,"When aliens attack, monsters fight back.",Monsters vs Aliens,6,1423
Released,Heroes aren't born. They're built.,Iron Man,7.4,8776
Released,One of the most legendary directors of our time takes you on an extraordinary adventure.,Hugo,7,2141
Released,It's a whole new west.,Wild Wild West,5.1,1020
Released,A New Evil Awakens.,The Mummy: Tomb of the Dragon Emperor,5.2,1387
Released,Worst Heroes Ever,Suicide Squad,5.9,7458
Released,A comedy of biblical proportions,Evan Almighty,5.3,1151
Released,"Live, Die, Repeat",Edge of Tomorrow,7.6,4858
Released,Beyond the horizon lies the secret to a new beginning.,Waterworld,5.9,992
Released,"When all else fails, they don't.",G.I. Joe: The Rise of Cobra,5.6,1962
Released,Meet the little voices inside your head.,Inside Out,8,6560
Released,,The Jungle Book,6.7,2892
Released,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6849
Released,The Fairytale is Over,Snow White and the Huntsman,5.8,3118
Released,Don't believe the fairy tale.,Maleficent,7,4496
Released,One last chance for peace.,Dawn of the Planet of the Apes,7.3,4410
Released,Love is longer than life.,The Lovers,4.8,34
Released,For courage. For loyalty. For honor.,47 Ronin,5.9,1326
Released,In heroes we trust.,Captain America: The Winter Soldier,7.6,5764
Released,It ain't Ogre... Til it's Ogre,Shrek Forever After,6,1959
Released,Imagine a world where nothing is impossible.,Tomorrowland,6.2,2846
Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6135
Released,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,7.1,4570
Released,This holiday season... believe.,The Polar Express,6.4,1474
Released,We had twenty years to prepare. So did they.,Independence Day: Resurgence,4.9,2491
Released,One adventure will change two worlds,How to Train Your Dragon,7.5,4227
Released,The Machines Will Rise.,Terminator 3: Rise of the Machines,5.9,2143
Released,All heroes start somewhere.,Guardians of the Galaxy,7.9,9742
Released,Mankind was born on Earth. It was never meant to die here.,Interstellar,8.1,10867
Released,Your mind is the scene of the crime.,Inception,8.1,13752
Released,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7,8297
Released,Live life 1/4 mile at a time.,The Fast and the Furious,6.6,3428
Released,"Life isn't measured in minutes, but in moments.",The Curious Case of Benjamin Button,7.3,3292
Released,Witness the moment that will change our world.,X-Men: First Class,7.1,5181
Released,The fire will burn forever.,The Hunger Games: Mockingjay - Part 2,6.6,3984
Released,It's The Coolest Job Ever.,The Sorcerer's Apprentice,5.8,1470
Released,Mayday,Poseidon,5.5,583
Released,It's time for a little madness.,Alice Through the Looking Glass,6.5,1725
Released,Who's ready for Thirds?,Shrek the Third,6,2278
Released,Two worlds. One home.,Warcraft,6.3,2268
Released,Reset the future,Terminator Genisys,5.8,3631
Released,Return to magic. Return to hope. Return to Narnia.,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
Released,It takes a moment to change history. It takes love to change lives.,Pearl Harbor,6.6,1791
Released,Their war. Our world.,Transformers,6.6,4040
Released,The greatest legend of all was real.,Alexander,5.6,927
Released,Evil Must Be Confronted.,Harry Potter and the Order of the Phoenix,7.4,5494
Released,Dark And Difficult Times Lie Ahead.,Harry Potter and the Goblet of Fire,7.5,5608
Released,Bad Behavior. Bad Attitude. Real Hero.,Hancock,6.2,2961
Released,The last man on Earth is not alone,I Am Legend,6.9,4853
Released,Willy Wonka is semi-sweet and nuts.,Charlie and the Chocolate Factory,6.7,3624
Released,He's dying to become a chef.,Ratatouille,7.5,4369
Released,Evil fears the knight.,Batman Begins,7.5,7359
Released,Still together. Still lost!,Madagascar: Escape 2 Africa,6.2,1810
Released,When the lights go off the battle is on.,Night at the Museum: Battle of the Smithsonian,5.9,1971
Released,Witness the Origin.,X-Men Origins: Wolverine,6.2,4021
Released,Everything that has a beginning has an end.,The Matrix Revolutions,6.4,3096
Released,Only the act of true love will thaw a frozen heart.,Frozen,7.3,5295
Released,Free your mind.,The Matrix Reloaded,6.7,3443
Released,Delve into the darkness,Thor: The Dark World,6.8,4755
Released,What a Lovely Day.,Mad Max: Fury Road,7.2,9427
Released,,Angels & Demons,6.5,2129
Released,Two worlds. One hero.,Thor,6.6,6525
Released,Fully Awesome. Ridonculous. Let It Begin.,Bolt,6.3,1750
Released,The world needs bigger heroes,G-Force,5.1,510
Released,Feel the Wrath,Wrath of the Titans,5.5,1431
Released,Every Family Has Its Demons,Dark Shadows,5.7,2320
Released,Desperate Times. Desperate Measures.,Mission: Impossible - Rogue Nation,7.1,3224
Released,When the moon is full the legend comes to life,The Wolfman,5.5,549
Released,Born to bee wild.,Bee Movie,5.7,1171
Released,Prepare for the Year of Awesomeness!,Kung Fu Panda 2,6.7,1880
Released,"Four nations, one destiny",The Last Airbender,4.7,1151
Released,The Mission Begins 05:05:06.,Mission: Impossible III,6.5,2028
Released,It will start like any other day.,White House Down,6.4,1891
Released,Mom needs a little space.,Mars Needs Moms,5.5,199
Released,Someone's Going Down,Flushed Away,6,874
Released,Every legend has a beginning.,Pan,5.9,954
Released,He's Leaving His Mark On History,Mr. Peabody & Sherman,6.7,843
Released,For passion. For honor. For destiny. For victory. For love.,Troy,6.9,2759
Released,"Six years ago, they disappeared without a trace. Next summer, they finally resurface.",Madagascar 3: Europe's Most Wanted,6.4,1808
Released,He�۪s never been cooler.,Die Another Day,5.8,1092
Released,Who You Gonna Call?,Ghostbusters,5.3,2142
Released,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,6.4,2482
Released,Same Planet. New Scum.,Men in Black II,6,3114
Released,Evil breeds pain.,Beowulf,5.5,841
Released,Grab destiny by the rice dumplings.,Kung Fu Panda 3,6.7,1603
Released,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,6.8,3972
Released,You better believe.,Rise of the Guardians,7.1,1922
Released,Giving big businesses a run for their money!,Fun with Dick and Jane,5.9,627
Released,"In the face of an enemy, in the heart of one man, lies the soul of a warrior.",The Last Samurai,7.3,1895
Released,"Once brothers, now enemies.",Exodus: Gods and Kings,5.6,1921
Released,The future begins.,Star Trek,7.4,4518
Released,With great power comes great responsibility.,Spider-Man,6.8,5265
Released,The training is over.,How to Train Your Dragon 2,7.6,3106
Released,The battle for eternity begins,Gods of Egypt,5.3,1277
Released,Fear The Sky,Stealth,4.9,331
Released,Justice is coming to all of us.  No matter what we do.,Watchmen,7,2811
Released,The faces you love. The action you expect.,Lethal Weapon 4,6.3,767
Released,Unleash the hero within,Hulk,5.3,1533
Released,,G.I. Joe: Retaliation,5.4,3025
Released,Dirk Pitt. Adventure has a new name.,Sahara,5.7,434
Released,Unleash a new reality,Final Fantasy: The Spirits Within,5.9,433
Released,When patriots become heroes,Captain America: The First Avenger,6.6,7047
Released,As the countdown begins for the new millennium there is still one number you can always count on.,The World Is Not Enough,6,862
Released,The courage to do the impossible lies in the hearts of men.,Master and Commander: The Far Side of the World,6.9,790
Released,The epic finale that will live forever,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
Released,Every step counts.,Happy Feet Two,5.8,373
Released,You'll like him when he's angry.,The Incredible Hulk,6.1,3021
Released,The world is more giant than you can imagine.,The BFG,6,1000
Released,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6396
Released,SLO NO MO,Turbo,6.1,1074
Released,Heroes come in all different colors.,Rango,6.6,2051
Released,The Movie Event That Will Blow Their Cover,Penguins of Madagascar,6.5,1346
Released,Remember everything. Forgive nothing.,The Bourne Ultimatum,7.3,2888
Released,Prepare for awesomeness.,Kung Fu Panda,6.9,3145
Released,Heroes don't get any bigger.,Ant-Man,7,5880
Released,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6495
Released,Worlds Collide,Home,6.8,1519
Released,They're already here.,War of the Worlds,6.2,2322
Released,"If you can't stand the heat, get out of Miami.",Bad Boys II,6.3,1564
Released,Live for danger. Fight for justice. Pray for mercy.,Puss in Boots,6.4,451
Released,Who is Salt?,Salt,6.2,2093
Released,The end of the world is just the beginning.,Noah,5.6,2350
Released,"This year, discover how far adventure will take you.",The Adventures of Tintin,6.7,2061
Released,Something wicked this way comes.,Harry Potter and the Prisoner of Azkaban,7.7,5877
Released,Welcome to Australia!,Australia,6.3,694
Released,"Danger is real, fear is a choice",After Earth,5,2532
Released,You have never seen anything like this.,Dinosaur,6.2,542
Released,One Final Night to Save the Day.,Night at the Museum: Secret of the Tomb,6.1,1851
Released,His brain is off the chain.,Megamind,6.7,1918
Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
Released,To protect and serve the living,R.I.P.D.,5.4,1260
Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985
Released,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5584
Released,Seek the truth.,The Da Vinci Code,6.5,2704
Released,"He's villainous, she's venomous.",Rio 2,6.3,978
Released,The time has come for those who are different to stand united.,X2,6.8,3506
Released,Get the Fifth Gear.,Fast Five,7.1,2438
Released,The game is afoot.,Sherlock Holmes: A Game of Shadows,7,3886
Released,Titans will clash.,Clash of the Titans,5.6,2233
Released,"They stole his mind, now he wants it back.",Total Recall,7.1,1710
